Antena A01 14
Antena A02 12
Antena A03 12
Antena A04 12
Conectar 1111222233 A04 0001
Conectar 1111333333 A03 0005
Conectar 1111444444 A02 0006
Inicio 1111444444 1111333333 0008
Inicio 1111222233 1111444444 0009
Fin 1111222233 1111444444 0010
Desconectar 1111444444 A02 0016
Conectar 1111444444 A01 0020
Desconectar 1111333333 A03 0016
Conectar 1111333333 A02 0020
Fin 1111444444 1111333333 0021
Desconectar 1111444444 A01 0022
Conectar 1111444444 A03 0023
Inicio 1111222233 1111444444 0025
Fin 1111222233 1111444444 0026
Conectar 1155555555 A01 0029
Inicio 1155555555 1111333333 0030
Fin 1155555555 1111333333 0033
